KEY_lang,English,Vietnamese,Russian,Spanish,French,Japanese,Korean,Thai,Arabic,Chinese,Portuguese,German,Italian,Indonesian,Turkish,
"tips_level_9","Great! You are incredible","Tuyệt! Bạn thật phi thường!","Большой! Ты потрясающая","¡Excelente! Eres increíble","Faites glisser le soleil hors de l'écran","すばらしいです！あなたは素晴らしい","큰! 당신은 믿어지지 않습니다","ที่ดี! คุณช่างเหลือเชื่อ","ﻊﺋار ﺖﻧا !ﻢﻴﻈﻋ","大！你太不可思議了","Ótimo! Você é incrível","Toll! Du bist unglaublich","Grande! Sei incredibile","Bagus! Kamu luar biasa","Harika! İnanılmazsın",
"ques_level_10","Is this game awesome?","Trò chơi này có tuyệt vời không","Эта игра классная?","¿Es este juego genial?","Ce jeu est-il génial?","このゲームは素晴らしいですか？","이 게임은 굉장합니까?","เกมนี้ยอดเยี่ยมหรือไม่?","؟ﺔﻌﺋار ﺔﺒﻌﻠﻟا هﺬﻫ ﻞﻫ","這個遊戲很棒嗎？","Este jogo é incrível?","Ist das Spiel großartig?","Questo gioco è fantastico?","Apakah game ini luar biasa?","Bu oyun harika mı?",
"hint_level_10","The Game is Very Good","Rất rất khủng tuyệt","Игра очень хорошая","El juego es muy bueno","Le jeu est très bon","ゲームはとても良いです","게임은 매우 좋다","เกมนี้ดีมาก","اﺪﺟ ةﺪﻴﺟ ﺔﺒﻌﻠﻟا","遊戲非常好","O jogo é muito bom","Das Spiel ist sehr gut","Il gioco è molto buono","Game ini Sangat Bagus","Oyun Çok Güzel",
"tips_level_10","So Cool!","Ngầu đấy!","Так круто!","¡Muy guay!","Trop cool!","とてもクール！","너무 멋져요!","เจ๋ง!","!اﺪﺟ ﻒﻴﻄﻟ","非常酷！","Tão legal!","So cool!","Così bello!","Keren abis!","Çok havalı!",
"ques_level_11","Help the deer cross the river","Giúp chú hươu qua sông","Помоги оленю пересечь реку","Ayuda al venado a cruzar el río","Aide le cerf à traverser la rivière","鹿が川を渡るのを手伝ってください","사슴이 강을 건너도록 도와주세요","ช่วยกวางข้ามแม่น้ำ","ﺮﻬﻨﻟا رﻮﺒﻋ نﻻﺰﻐﻟا ةﺪﻋﺎﺴﻣ","幫助鹿過河","Ajude o cervo a atravessar o rio","Hilf dem Reh, den Fluss zu überqueren","Aiuta il cervo ad attraversare il fiume","Bantu rusa menyeberangi sungai","Geyik nehri geçmeye yardım edin",
"hint_level_11","Pull the river behind the deer","Kéo dòng sông ra đằng sau chú hươu","Слайд реку за оленем","Desliza el río detrás del venado","Glissez la rivière derrière le cerf","鹿の後ろで川を滑らせる","사슴 뒤에 강을 밀어","เลื่อนแม่น้ำด้านหลังกวาง","نﻻﺰﻐﻟا ﻒﻠﺧ ﺮﻬﻨﻟا كﺮﺣ","將河滑到鹿後面","Deslize o rio atrás do cervo","Schieben Sie den Fluss hinter das Reh","Fai scorrere il fiume dietro il cervo","Geser sungai di belakang rusa","Nehri geyik arkasında kaydırın",
"tips_level_11","Let Go on!","Qua sông rồi! Đi thôi","Вперед!","Deja ir!","Laisse aller!","行こう！","계속하자!","ปล่อยให้ไป!","ﺎﻨﺑ ﺎﻴﻫ","繼續吧！","Vamos em frente!","Lass los!","Lascia andare!","Ayo pergi!","Hadi gidelim!",
"ques_level_12","Turn on the Light","Hãy làm cho đèn sáng","Включи свет","Enciende la luz","Allume la lumière","電気をつける","불을 켜","เปิดไฟ","ءﻮﺿ ﻞﻌﺷا","開燈","Acenda a luz","Mach das Licht an","Accendi la luce","Menyalakan lampu","Işığı aç",
"hint_level_12","Move the green rope down","Di chuyển sợi dây màu xanh xuống dưới","Переместите зеленую веревку вниз","Mueve la cuerda verde hacia abajo","Descends la corde verte","緑色のロープを下に移動します","녹색 끈을 아래로 이동","ย้ายเชือกสีเขียวลง","ﻞﻔﺳﻷ ﺮﻀﺧﻷا ﻞﺒﺤﻟا كﺮﺣ","向下移动绿色绳索","Mova a corda verde para baixo","Bewege das grüne Seil nach unten","Sposta la corda verde verso il basso","Pindahkan tali hijau ke bawah","Yeşil ipi aşağı kaydır",
"tips_level_12","Thank you! Edison, Because invented light bulb :)","Cảm ơn Edison đã phát minh ra bóng đèn!","Спасибо! Эдисон, потому что изобрели лампочку :)","¡Gracias! Edison, porque inventó la bombilla :)","Je vous remercie! Edison, Parce que l'ampoule inventée :)","ありがとうございました！エジソン、電球を発明したから:)","감사합니다! 에디슨, 전구를 발명했기 때문에 :)","ขอขอบคุณ! เอดิสันเพราะเป็นผู้คิดค้นหลอดไฟ :)",":< ﻲﺋﺎﺑﺮﻬﻜﻟا حﺎﺒﺼﻤﻟا عﺮﺘﺧا نﻷ ، نﻮﺴﻳدا !اﺮﻜﺷ","謝謝！愛迪生，因為發明了燈泡:)","Obrigado! Edison, porque inventou a lâmpada :)","Danke! Edison, weil die Glühbirne erfunden wurde :)","Grazie! Edison, perché ha inventato la lampadina :)","Terima kasih! Edison, Karena menemukan bola lampu :)","Teşekkür ederim! Edison, Çünkü ampulü icat etti :)",
"ques_level_13","1 + 2 + 1\n1 + 5 + 2\n2 + 15 + 1 = ?","1 + 2 + 1\n\n1 + 5 + 2\n\n2 + 15 + 1 = ?","1 + 2 + 1\n\n1 + 5 + 2\n\n2 + 15 + 1 = ?","1 + 2 + 1\n\n1 + 5 + 2\n\n2 + 15 + 1 = ?","1 + 2 + 1\n\n1 + 5 + 2\n\n2 + 15 + 1 = ?","1 + 2 + 1\n\n1 + 5 + 2\n\n2 + 15 + 1 = ?","1 + 2 + 1\n\n1 + 5 + 2\n\n2 + 15 + 1 = ?","1 + 2 + 1\n\n1 + 5 + 2\n\n2 + 15 + 1 = ?","1 + 2 + 1\n2 + 5 + 1\n? = 1 + 15 + 2","1 + 2 + 1\n1 + 5 + 2\n2 + 15 + 1 = ?","1 + 2 + 1\n1 + 5 + 2\n2 + 15 + 1 = ?","1 + 2 + 1\n1 + 5 + 2\n2 + 15 + 1 = ?","1 + 2 + 1\n1 + 5 + 2\n2 + 15 + 1 = ?","1 + 2 + 1\n1 + 5 + 2\n2 + 15 + 1 = ?","1 + 2 + 1\n1 + 5 + 2\n2 + 15 + 1 = ?",
"hint_level_13","1 +2 +11 + 5 +22 + 15 + 1 = ?","1 +2 +11 + 5 +22 + 15 + 1 = ?","1 +2 +11 + 5 +22 + 15 + 1 = ?","1 +2 +11 + 5 +22 + 15 + 1 = ?","1 +2 +11 + 5 +22 + 15 + 1 = ?","1 +2 +11 + 5 +22 + 15 + 1 = ?","1 +2 +11 + 5 +22 + 15 + 1 = ?","1 +2 +11 + 5 +22 + 15 + 1 = ?","? = 1 + 15 + +22 5 + +11 +2 1","1 +2 +11 + 5 +22 + 15 + 1 = ?","1 +2 +11 + 5 +22 + 15 + 1 = ?","1 +2 +11 + 5 +22 + 15 + 1 = ?","1 +2 +11 + 5 +22 + 15 + 1 = ?","1 +2 +11 + 5 +22 + 15 + 1 = ?","1 +2 +11 + 5 +22 + 15 + 1 = ?",
"tips_level_13","You are a prodigy!","Bạn là một thần đồng!","Вы вундеркинд!","Eres un prodigio!","Tu es un prodige!","あなたは天才です！","당신은 신동입니다!","คุณเป็นอัจฉริยะ!","!ةﺰﺠﻌﻣ ﺖﻧأ","你真是個天才！","Você é um prodígio!","Du bist ein Wunderkind!","Sei un prodigio!","Anda ajaib!","Sen bir dahisin!",
"ques_level_14","Find number 8","Tìm ra số 8","Найти номер 8","Encuentra el número 8","Trouver le numéro 8","番号8を見つける","8 번 찾기","ค้นหาหมายเลข 8","8 ﻢﻗر ﻦﻋ ﺚﺤﺒﻟا","查找數字8","Encontre o número 8","Suchen Sie die Nummer 8","Trova il numero 8","Temukan nomor 8","8 numarayı bul",
"hint_level_14","","","","","","","","","","","","","","",
"tips_level_14","Nothing escapes your eyes!","Không gì có thể qua mắt được bạn!","Ничто не ускользает от ваших глаз!","¡Nada escapa a tus ojos!","Rien n'échappe à tes yeux!","何もあなたの目から逃げません！","당신의 눈을 피할 수있는 것은 없습니다!","ไม่มีอะไรหนีสายตาของคุณ!","!ﻚﻴﻨﻴﻋ بﺮﻬﻳ ءﻲﺷ ﻻ","沒有什麼能逃脫你的眼睛！","Nada escapa dos seus olhos!","Nichts entgeht Ihren Augen!","Nulla ti sfugge agli occhi!","Tidak ada yang lolos dari matamu!","Hiçbir şey gözlerinden kaçamaz!",
"ques_level_15","Find something you can eat","Hãy tìm một thứ có thể ăn","Найдите то, что вы можете съесть","Encuentra algo que puedas comer","Trouvez quelque chose que vous pouvez manger","食べられるものを探す","먹을 수있는 것을 찾으십시오","ค้นหาสิ่งที่คุณสามารถกินได้","ﻪﻟوﺎﻨﺗ ﻚﻨﻜﻤﻳ ءﻲﺷ ﯽﻠﻋ رﻮﺜﻌﻟا","找到可以吃的東西","Encontre algo que você possa comer","Finde etwas, das du essen kannst","Trova qualcosa che puoi mangiare","Temukan sesuatu yang bisa Anda makan","Yiyebileceğiniz bir şey bulun",
"hint_level_15","Do you remember what a plate of noodles looks like?","Bạn có nhớ đĩa mỳ trông như thế nào không?","Вы помните, как выглядит тарелка лапши?","¿Recuerdas cómo se ve un plato de fideos?","Vous souvenez-vous à quoi ressemble une assiette de nouilles?","麺のプレートがどのように見えるか覚えていますか？","국수 한 접시가 어떻게 생겼는지 기억하십니까?","คุณจำเส้นก๋วยเตี๋ยวได้ไหม","؟ﺔﻧوﺮﻜﻌﻤﻟا ﻦﻣ ﻖﺒﻃ وﺪﺒﻳ ﻒﻴﻛ ﺮﻛﺬﺘﺗ ﻞﻫ","您还记得一盘面条的样子吗？","Você se lembra de como é um prato de macarrão?","Erinnerst du dich, wie ein Teller Nudeln aussieht?","Ricordi che aspetto ha un piatto di noodles?","Apakah Anda ingat seperti apa sepiring mie itu?","Bir tabak erişte neye benzediğini hatırlıyor musun?",
"tips_level_15","Delicious!","Ngon tuyệt!","Вкусные!","¡Deliciosa!","Délicieuse!","おいしい！","맛있는!","อร่อย!","!ﺬﻳﺬﻟ","美味的！","Deliciosa!","Köstlich!","Deliziosa!","Lezat!","Lezzetli!",
"ques_level_16","How many holes in picture?","Có bao nhiêu lỗ trong bức hình?","Сколько отверстий на картинке?","¿Cuántos agujeros en la imagen?","Combien de trous dans l'image?","写真にはいくつの穴がありますか？","그림에 몇 개의 구멍이 있습니까?","รูปภาพมีรูกี่รู","؟ةرﻮﺼﻟا ﻲﻓ بﻮﻘﺜﻟا دﺪﻋ ﻢﻛ","圖片中有幾個孔？","Quantos furos na imagem?","Wie viele Löcher im Bild?","Quanti buchi nella foto?","Berapa banyak lubang di gambar?","Resimde kaç tane delik var?",
"hint_level_16","","","","","","","","","","","","","","",
"tips_level_16","Unstoppable you!","Không thể ngăn được bạn!","Не остановить тебя!","¡Imparable tú!","Vous êtes imparable!","止められないあなた！","막을 수 없어!","ผ่านพ้นคุณไปได้!","!ﻚﻟ ﺎﻬﻔﻗو ﻦﻜﻤﻳ ﻻ","勢不可擋！","Imparável você!","Unaufhaltsam du!","Inarrestabile te!","Anda yang tak terhentikan!","Durdurulamaz seni!",
"ques_level_17","Put Everything in the Box","Đặt mọi thứ vào chiếc hộp","Положите все в коробку","Pon todo en la caja","Tout mettre dans la boîte","すべてを箱に入れる","상자에 모든 것을 넣으십시오","ใส่ทุกอย่างไว้ในกล่อง","قوﺪﻨﺼﻟا ﻲﻓ ءﻲﺷ ﻞﻛ ﻊﺿ","把所有東西都放在盒子裡","Coloque tudo na caixa","Alles in die Schachtel legen","Metti tutto nella scatola","Masukkan Semuanya ke dalam Kotak","Her şeyi Kutuya Koy",
"hint_level_17","Don't forget Everything text in question","Đừng quên bỏ vào cả Text câu hỏi nhé","Не забывай все текст в вопросе","No olvides todo el texto en cuestión","N'oubliez pas tout le texte en question","問題のすべてのテキストを忘れないでください","문제의 모든 텍스트를 잊지 마십시오","อย่าลืมข้อความทุกอย่างที่เป็นปัญหา","ﺺﻨﻟا ﻲﻓ ءﻲﺷ ﻞﻛ ﺲﻨﺗ ﻻ","不要忘记有问题的所有文本","Não se esqueça de tudo o texto em questão","Vergessen Sie nicht Alles Text in Frage","Non dimenticare tutto il testo in questione","Jangan lupa teks Semuanya dipertanyakan","Unutmayın Söz konusu her şey metin",
"tips_level_17","Great! You are incredible","Tuyệt! Bạn thật xuất chúng!","Большой! Ты потрясающая","¡Excelente! Eres increíble","Génial! Vous êtes incroyable","すばらしいです！あなたは素晴らしい","큰! 당신은 믿어지지 않습니다","ที่ดี! คุณช่างเหลือเชื่อ","ﻊﺋار ﺖﻧا !ﻢﻴﻈﻋ","大！你太不可思議了","Ótimo! Você é incrível","Toll! Du bist unglaublich","Grande! Sei incredibile","Bagus! Kamu luar biasa","Harika! İnanılmazsın",
"ques_level_18","Which one is the farthest from us?","Tìm thứ xa nhất so với chúng ta","Какой из нас самый дальний?","¿Cuál es el más alejado de nosotros?","Lequel est le plus éloigné de nous?","私たちから最も遠いのはどれですか？","어느 쪽이 우리에게서 가장 먼가요?","อันไหนที่ไกลที่สุดจากเรา","؟ﺎﻨﻣ ﺪﻌﺑأ ﻢﻬﻳأ","離我們最遠的是哪一個？","Qual é o mais distante de nós?","Welches ist am weitesten von uns entfernt?","Qual è il più lontano da noi?","Yang mana yang paling jauh dari kita?","Bizden en uzak olan hangisi?",
